Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,5433,4,463525,5804775,75.06437683,7506,59.75112915,79.00665314,17.20410863,3.789238235,90,200,110,SU2,0.113681809,1.495850431
Boosen,5739,1,463235,5804665,32.5555954,3256,70.41426086,86.20166464,10.26161459,3.536720774,0,30,30,SU2,0.625958529,1.420838318
Boosen,5739,2,463235,5804665,32.5555954,3256,70.41426086,84.80641858,11.40921411,3.784367309,30,60,30,SU2,0.208670107,1.485064828
Boosen,5739,3,463235,5804665,32.5555954,3256,70.41426086,87.50450721,8.787671606,3.707821181,60,90,30,SS,0.058571401,1.512616721
Boosen,5739,4,463235,5804665,32.5555954,3256,70.41426086,87.50450721,8.787671606,3.707821181,90,200,110,SS,0.058571401,1.512616721
Boosen,5898,1,463295,5804615,63.68173599,6368,70.99905396,75.90931622,16.07936571,8.01131807,0,30,30,SL3,0.731588581,1.393965291
Boosen,5898,2,463295,5804615,63.68173599,6368,70.99905396,75.77345257,15.51342296,8.713124475,30,60,30,SL3,0.200429201,1.476032053
Boosen,5898,3,463295,5804615,63.68173599,6368,70.99905396,73.19583786,16.18153728,10.62262486,60,90,30,SL3,0.077498955,1.49339405
Boosen,5898,4,463295,5804615,63.68173599,6368,70.99905396,73.19583786,16.18153728,10.62262486,90,200,110,SL3,0.077498955,1.49339405
Boosen,5933,1,463335,5804605,66.52185822,6652,70.47563171,75.12668009,16.74574439,8.127575516,0,30,30,SL3,0.963593544,1.360220256
Boosen,5933,2,463335,5804605,66.52185822,6652,70.47563171,75.03385141,15.89432151,9.071827075,30,60,30,SL3,0.242078358,1.46836048
Boosen,5933,3,463335,5804605,66.52185822,6652,70.47563171,72.97887793,14.83279433,12.18832773,60,90,30,SL4,0.137080678,1.48234603
Boosen,5933,4,463335,5804605,66.52185822,6652,70.47563171,72.97887793,14.83279433,12.18832773,90,200,110,SL4,0.137080678,1.48234603
Boosen,6003,1,463435,5804585,46.14629364,4615,68.18891144,88.49353398,8.226815855,3.279650169,0,30,30,SS,0.820313261,1.394509903
Boosen,6003,2,463435,5804585,46.14629364,4615,68.18891144,88.29777917,8.142946535,3.559274295,30,60,30,SS,0.285462802,1.475670023
Boosen,6003,3,463435,5804585,46.14629364,4615,68.18891144,87.11960917,8.97526586,3.905124974,60,90,30,SS,0.226208454,1.484127488
Boosen,6003,4,463435,5804585,46.14629364,4615,68.18891144,87.11960917,8.97526586,3.905124974,90,200,110,SS,0.226208454,1.484127488
