Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,altura,SAND,SILT,CLAY,KA5,SOC,BD
Boosen,170,1,464265,5805245,52.70226669,5270,54.86842346,81.82852667,14.31761226,3.853861072,SU2,0.912301755,1.375394772
Boosen,171,1,464275,5805245,52.40922165,5241,54.91119003,81.28614961,14.8312304,3.882619985,SU2,0.91466653,1.374577452
Boosen,172,1,464145,5805235,50.19969559,5020,55.17540359,81.51145497,14.43991534,4.048629691,SU2,0.799089322,1.391092905
Boosen,173,1,464155,5805235,49.85835648,4986,55.41647339,82.49103716,13.73462138,3.774341453,SU2,0.797773438,1.392274818
Boosen,174,1,464165,5805235,50.9593811,5096,55.70362091,82.08694685,14.17881511,3.734238042,SU2,0.817983755,1.389043286
Boosen,175,1,464175,5805235,52.79732513,5280,55.93319702,82.56810252,13.65531232,3.776585165,SU2,0.767576352,1.396700668
Boosen,176,1,464185,5805235,48.53344727,4853,56.10349274,81.76021371,14.49679654,3.742989754,SU2,0.803378112,1.390850232
Boosen,177,1,464195,5805235,49.7650795,4977,56.31586838,81.13510748,15.09881351,3.766079005,SU2,0.831159239,1.386315889
Boosen,178,1,464205,5805235,48.07933044,4808,56.44540405,80.97451651,15.2153117,3.810171783,SU2,0.803581015,1.390103848
Boosen,179,1,464215,5805235,45.69271851,4569,56.43930435,81.36383955,14.91032014,3.725840309,SU2,0.826009047,1.387271164
Boosen,180,1,464225,5805235,48.95091248,4895,56.25002289,82.55657515,13.71587442,3.727550434,SU2,0.824799746,1.388479306
Boosen,181,1,464235,5805235,53.7782402,5378,55.95207214,81.77792641,13.69458045,4.52749314,SL2,0.840735275,1.385115324
Boosen,182,1,464245,5805235,55.07845306,5508,55.59810257,82.45554061,13.77898332,3.765476067,SU2,0.856511918,1.383853881
Boosen,183,1,464255,5805235,49.02738953,4903,55.29330826,82.53274902,13.62829156,3.838959418,SU2,0.855793647,1.383984973
Boosen,184,1,464265,5805235,51.39911652,5140,55.13184357,81.6057318,14.53715288,3.857115319,SU2,0.857124771,1.38298134
Boosen,185,1,464275,5805235,51.12073898,5112,55.14626312,81.81385165,14.36098247,3.825165884,SU2,0.897445877,1.377482295
Boosen,186,1,464145,5805225,52.44213867,5244,55.5376091,83.77985237,12.4297338,3.790413836,SU2,0.803247847,1.392598922
Boosen,187,1,464155,5805225,46.95690918,4696,55.73913193,83.61413114,12.72654806,3.659320799,SU2,0.826232324,1.389228425
Boosen,188,1,464165,5805225,53.50142288,5350,55.95100021,83.64988198,12.6056387,3.744479317,SU2,0.812820466,1.39113563
Boosen,189,1,464175,5805225,48.60168457,4860,56.1697731,83.17578609,13.05232242,3.771891491,SU2,0.831667051,1.388013122
Boosen,190,1,464185,5805225,47.66778564,4767,56.39803696,83.03128414,13.21584045,3.752875417,SU2,0.821673449,1.389325806
Boosen,191,1,464195,5805225,46.99871445,4700,56.60731506,81.48973455,14.788015,3.722250453,SU2,0.847469964,1.384322063
Boosen,192,1,464205,5805225,46.54718399,4655,56.74370956,81.5191135,14.67228557,3.808600924,SU2,0.818161259,1.388486187
Boosen,193,1,464215,5805225,43.72639847,4373,56.72385406,81.53534727,14.5404297,3.924223039,SU2,0.825785489,1.387349666
Boosen,194,1,464225,5805225,47.2301178,4723,56.55213547,82.32070625,13.92212228,3.75717147,SU2,0.827846552,1.387823594
Boosen,195,1,464235,5805225,52.52393341,5252,56.27043915,82.35690372,13.64729378,3.9958025,SU2,0.823179776,1.388399013
