Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,24,3,464245,5805385,68.61055756,6861,50.2116127,69.99626363,17.07281368,12.93092269,60,90,30,SL4,0.092,1.486963634
Boosen,24,4,464245,5805385,68.61055756,6861,50.2116127,69.99626363,17.07281368,12.93092269,90,200,110,SL4,0.092,1.486963634
Boosen,25,1,464255,5805385,63.51987457,6352,50.2636528,70.88761576,20.42260331,8.689780924,0,30,30,SL3,0.907481216,1.364069054
Boosen,25,2,464255,5805385,63.51987457,6352,50.2636528,70.98140678,19.13211559,9.88647763,30,60,30,SL3,0.323295981,1.451261036
Boosen,25,3,464255,5805385,63.51987457,6352,50.2636528,70.35402094,16.92644057,12.71953848,60,90,30,SL4,0.089622124,1.48778623
Boosen,25,4,464255,5805385,63.51987457,6352,50.2636528,70.35402094,16.92644057,12.71953848,90,200,110,SL4,0.089622124,1.48778623
Boosen,26,1,464265,5805385,56.05813217,5606,50.37330627,71.00501137,21.31346059,7.681528042,0,30,30,SL3,1.073585642,1.341828347
Boosen,26,2,464265,5805385,56.05813217,5606,50.37330627,71.26084412,19.70240062,9.036755264,30,60,30,SL3,0.352644815,1.447247884
Boosen,26,3,464265,5805385,56.05813217,5606,50.37330627,69.49834041,17.28127241,13.22038718,60,90,30,SL4,0.298688744,1.452211823
Boosen,26,4,464265,5805385,56.05813217,5606,50.37330627,69.49834041,17.28127241,13.22038718,90,200,110,SL4,0.298688744,1.452211823
Boosen,27,1,464205,5805375,78.74267578,7874,50.95361328,72.50853829,22.30287326,5.188588455,0,30,30,SL2,0.834395642,1.377625473
Boosen,27,2,464205,5805375,78.74267578,7874,50.95361328,73.28313658,20.61865895,6.098204471,30,60,30,SL2,0.609117632,1.410819123
Boosen,27,3,464205,5805375,78.74267578,7874,50.95361328,75.10451886,15.48703558,9.408445566,60,90,30,SL3,0.16006585,1.481787394
Boosen,27,4,464205,5805375,78.74267578,7874,50.95361328,75.10451886,15.48703558,9.408445566,90,200,110,SL3,0.16006585,1.481787394
Boosen,28,1,464215,5805375,80.45096588,8045,50.88880157,72.52958155,22.17078837,5.299630081,0,30,30,SL2,0.846291127,1.375891529
